country,code,year,value
Arab World,ARB,1968,25760683041.0857
Arab World,ARB,1969,28434203615.4829
Arab World,ARB,1970,31385499664.0672
Arab World,ARB,1971,36426909888.3928
Arab World,ARB,1972,43316056615.4562
Arab World,ARB,1973,55018394945.5825
Arab World,ARB,1974,105145803084.377
Arab World,ARB,1975,116337021938.341
Arab World,ARB,1976,144846175400.488
Arab World,ARB,1977,167308327683.593
Arab World,ARB,1978,183555544342.189
Arab World,ARB,1979,248646206367.003
Arab World,ARB,1980,338177454717.54
Arab World,ARB,1981,348592795413.116
Arab World,ARB,1982,324328753765.3
Arab World,ARB,1983,303962539723.08
Arab World,ARB,1984,307940771858.542
Arab World,ARB,1985,303893618415.542
Arab World,ARB,1986,289029150639.442
Arab World,ARB,1987,312681678329.933
Arab World,ARB,1988,307503035642.516
Arab World,ARB,1989,322325140494.725
Arab World,ARB,1990,446877161735.16
Arab World,ARB,1991,439779177865.334
Arab World,ARB,1992,471163515479.771
Arab World,ARB,1993,476513630620.727
Arab World,ARB,1994,487526906267.398
Arab World,ARB,1995,523759898278.581
Arab World,ARB,1996,578231297757.414
Arab World,ARB,1997,613279452463.065
Arab World,ARB,1998,591525594008.239
Arab World,ARB,1999,643889670873.196
Arab World,ARB,2000,735025140326.516
Arab World,ARB,2001,723282816391.284
Arab World,ARB,2002,729051715403.445
Arab World,ARB,2003,823110541440.464
Arab World,ARB,2004,963862340520.581
Arab World,ARB,2005,1184661549595.13
Arab World,ARB,2006,1404113530800.68
Arab World,ARB,2007,1637573196970.62
Arab World,ARB,2008,2078115659876.48
Arab World,ARB,2009,1795819607113.11
Arab World,ARB,2010,2109645821948.41
Arab World,ARB,2011,2501553648412.73
Arab World,ARB,2012,2741238538444.31
Arab World,ARB,2013,2839626635836.57
Arab World,ARB,2014,2906616435186.9
Arab World,ARB,2015,2563301730344.96
Arab World,ARB,2016,2504702625568.63
Central Europe and the Baltics,CEB,1990,256391119869.734
Central Europe and the Baltics,CEB,1991,242844938128.091
Central Europe and the Baltics,CEB,1992,260069791613.87
Central Europe and the Baltics,CEB,1993,274192522357.49
Central Europe and the Baltics,CEB,1994,311016433450.634
Central Europe and the Baltics,CEB,1995,386483907816.169
Central Europe and the Baltics,CEB,1996,412961998506.857
Central Europe and the Baltics,CEB,1997,409177928370.546
Central Europe and the Baltics,CEB,1998,447675022512.855
Central Europe and the Baltics,CEB,1999,434158663027.362
Central Europe and the Baltics,CEB,2000,427826438350.621
Central Europe and the Baltics,CEB,2001,468434348786.6
Central Europe and the Baltics,CEB,2002,527515753116.019
Central Europe and the Baltics,CEB,2003,634885340805.817
Central Europe and the Baltics,CEB,2004,763009793236.826
Central Europe and the Baltics,CEB,2005,886484956908.554
Central Europe and the Baltics,CEB,2006,1002687667760.64
Central Europe and the Baltics,CEB,2007,1262018642144.73
Central Europe and the Baltics,CEB,2008,1524160100132.74
Central Europe and the Baltics,CEB,2009,1281584484589.85
Central Europe and the Baltics,CEB,2010,1313815361437.81
Central Europe and the Baltics,CEB,2011,1446816247840
Central Europe and the Baltics,CEB,2012,1351348603800.8
Central Europe and the Baltics,CEB,2013,1422416711189.95
Central Europe and the Baltics,CEB,2014,1463360359358.05
Central Europe and the Baltics,CEB,2015,1285572776919.07
Central Europe and the Baltics,CEB,2016,1312157690492.89
East Asia & Pacific,EAS,1960,153611968410.868
East Asia & Pacific,EAS,1961,154058410879.326
East Asia & Pacific,EAS,1962,157634158384.164
East Asia & Pacific,EAS,1963,175902438691.371
East Asia & Pacific,EAS,1964,202099658345.593
East Asia & Pacific,EAS,1965,225097031930.026
East Asia & Pacific,EAS,1966,251654220084.227
East Asia & Pacific,EAS,1967,272677391514.359
East Asia & Pacific,EAS,1968,300494755214.571
East Asia & Pacific,EAS,1969,346159376816.483
East Asia & Pacific,EAS,1970,407482340310.948
East Asia & Pacific,EAS,1971,452155385439.724
East Asia & Pacific,EAS,1972,561124915613.103
East Asia & Pacific,EAS,1973,739677042363.32
East Asia & Pacific,EAS,1974,852154564637.675
East Asia & Pacific,EAS,1975,933155076408.682
East Asia & Pacific,EAS,1976,1026039624283.15
East Asia & Pacific,EAS,1977,1223069163831.1
East Asia & Pacific,EAS,1978,1542745010316.58
East Asia & Pacific,EAS,1979,1675126322202.62
East Asia & Pacific,EAS,1980,1811621650857.12
East Asia & Pacific,EAS,1981,2000329444916.93
East Asia & Pacific,EAS,1982,1959327051346.86
East Asia & Pacific,EAS,1983,2078325205696.09
East Asia & Pacific,EAS,1984,2229496400059.14
East Asia & Pacific,EAS,1985,2363703214005.83
East Asia & Pacific,EAS,1986,3081288169010.05
East Asia & Pacific,EAS,1987,3603282407781.65
East Asia & Pacific,EAS,1988,4336305608499.4
East Asia & Pacific,EAS,1989,4535368154904.11
East Asia & Pacific,EAS,1990,4746999011159.47
East Asia & Pacific,EAS,1991,5345047818273.24
East Asia & Pacific,EAS,1992,5835758398326.51
East Asia & Pacific,EAS,1993,6552477292052.35
East Asia & Pacific,EAS,1994,7313623815311.39
East Asia & Pacific,EAS,1995,8310311039754.74
East Asia & Pacific,EAS,1996,8008587857961.38
East Asia & Pacific,EAS,1997,7662988542672.2
East Asia & Pacific,EAS,1998,6863955800395.99
East Asia & Pacific,EAS,1999,7665318632852.15
East Asia & Pacific,EAS,2000,8291881372201.96
East Asia & Pacific,EAS,2001,7712927229834.08
East Asia & Pacific,EAS,2002,7837074972126.93
East Asia & Pacific,EAS,2003,8617381783014.6
East Asia & Pacific,EAS,2004,9663708744825.51
East Asia & Pacific,EAS,2005,10311337123730.3
East Asia & Pacific,EAS,2006,10939731186788.5
East Asia & Pacific,EAS,2007,12236995324293.9
East Asia & Pacific,EAS,2008,14134059989615.9
East Asia & Pacific,EAS,2009,14564521831208.3
East Asia & Pacific,EAS,2010,16938756587419.1
East Asia & Pacific,EAS,2011,19638672525945
East Asia & Pacific,EAS,2012,21019132105911.6
East Asia & Pacific,EAS,2013,21262544412410.1
East Asia & Pacific,EAS,2014,21900031790821.4
East Asia & Pacific,EAS,2015,21766948388560.2
East Asia & Pacific,EAS,2016,22480427869996.2
Euro area,EMU,1960,245381907805.065
Euro area,EMU,1961,270100353874.124
Euro area,EMU,1962,299740225877.789
Euro area,EMU,1963,336261333718.505
Euro area,EMU,1964,373998584425.94
Euro area,EMU,1965,408106362093.821
Euro area,EMU,1966,445026423668.263
Euro area,EMU,1967,483426341513.884
Euro area,EMU,1968,518247421028.116
Euro area,EMU,1969,572514499522.906
Euro area,EMU,1970,641498475903.321
Euro area,EMU,1971,727089210150.568
Euro area,EMU,1972,878426291558.949
Euro area,EMU,1973,1140287836231.29
Euro area,EMU,1974,1292999458724.51
Euro area,EMU,1975,1499390975405.46
Euro area,EMU,1976,1564623413591.72
Euro area,EMU,1977,1779587264420.36
Euro area,EMU,1978,2179196915279.77
Euro area,EMU,1979,2639946745927.98
Euro area,EMU,1980,2956937624588.21
Euro area,EMU,1981,2569994236426.66
Euro area,EMU,1982,2488146477597.51
Euro area,EMU,1983,2427367234241.76
Euro area,EMU,1984,2328427539433.43
Euro area,EMU,1985,2392225442302.6
Euro area,EMU,1986,3357483171959.55
Euro area,EMU,1987,4153049181612.28
Euro area,EMU,1988,4567647574591.87
Euro area,EMU,1989,4665936358488.54
Euro area,EMU,1990,5872104783694.2
Euro area,EMU,1991,6104958669574.53
Euro area,EMU,1992,6735382955564.35
Euro area,EMU,1993,6169132265627.78
Euro area,EMU,1994,6516008654972.37
Euro area,EMU,1995,7520701639391.15
Euro area,EMU,1996,7612273118735.76
Euro area,EMU,1997,6959960583589.25
Euro area,EMU,1998,7151574322430.91
Euro area,EMU,1999,7119593958729.54
Euro area,EMU,2000,6487325474099.12
Euro area,EMU,2001,6593632936725.72
Euro area,EMU,2002,7174014039603.36
Euro area,EMU,2003,8851572342338.51
Euro area,EMU,2004,10152860200757
Euro area,EMU,2005,10536619657651.6
Euro area,EMU,2006,11186013472971.5
Euro area,EMU,2007,12879504293545.5
Euro area,EMU,2008,14118176482709.8
Euro area,EMU,2009,12908601410684.9
Euro area,EMU,2010,12645252803081.6
Euro area,EMU,2011,13623289150489.6
Euro area,EMU,2012,12639517177808.2
Euro area,EMU,2013,13190839006664
Euro area,EMU,2014,13476466492426.9
Euro area,EMU,2015,11661892507639.7
Euro area,EMU,2016,11934055071906
Europe & Central Asia,ECS,1960,432808366213.619
Europe & Central Asia,ECS,1961,460716438566.125
Europe & Central Asia,ECS,1962,503690734064.738
Europe & Central Asia,ECS,1963,555426322397.083
Europe & Central Asia,ECS,1964,615091988199.007
Europe & Central Asia,ECS,1965,669326436809.058
Europe & Central Asia,ECS,1966,727155773397.975
Europe & Central Asia,ECS,1967,782354301085.33
Europe & Central Asia,ECS,1968,815952773736.445
Europe & Central Asia,ECS,1969,895833562328.926
Europe & Central Asia,ECS,1970,1007773910663.56
Europe & Central Asia,ECS,1971,1136565636851.85
Europe & Central Asia,ECS,1972,1361955987875.99
Europe & Central Asia,ECS,1973,1729792431547.48
Europe & Central Asia,ECS,1974,1954412476388.09
Europe & Central Asia,ECS,1975,2283265896817.75
Europe & Central Asia,ECS,1976,2373201561892.56
Europe & Central Asia,ECS,1977,2689501678091
Europe & Central Asia,ECS,1978,3282691397268.31
Europe & Central Asia,ECS,1979,4016054634280.08
Europe & Central Asia,ECS,1980,4549120101079.41
Europe & Central Asia,ECS,1981,4048966722470.86
Europe & Central Asia,ECS,1982,3901660951920.75
Europe & Central Asia,ECS,1983,3784993440409.82
Europe & Central Asia,ECS,1984,3637906517266.89
Europe & Central Asia,ECS,1985,3764943790264.45
Europe & Central Asia,ECS,1986,5138626562504.11
Europe & Central Asia,ECS,1987,6350049382135.22
Europe & Central Asia,ECS,1988,7068792325499.52
Europe & Central Asia,ECS,1989,7225733324752.49
Europe & Central Asia,ECS,1990,8839404183172.32
Europe & Central Asia,ECS,1991,9119853534697.57
Europe & Central Asia,ECS,1992,9781799979487.2
Europe & Central Asia,ECS,1993,8989614212468.86
Europe & Central Asia,ECS,1994,9402275190706.82
Europe & Central Asia,ECS,1995,10845175383743.5
Europe & Central Asia,ECS,1996,11072726701921.7
Europe & Central Asia,ECS,1997,10506307834799.2
Europe & Central Asia,ECS,1998,10765939437357.8
Europe & Central Asia,ECS,1999,10643148560197.9
Europe & Central Asia,ECS,2000,10025331255412.2
Europe & Central Asia,ECS,2001,10122519397601.8
Europe & Central Asia,ECS,2002,11073970001446.5
Europe & Central Asia,ECS,2003,13488994424517.5
Europe & Central Asia,ECS,2004,15722616205763.6
Europe & Central Asia,ECS,2005,16747765816605.5
Europe & Central Asia,ECS,2006,18128083129847.2
Europe & Central Asia,ECS,2007,21178802883227.4
Europe & Central Asia,ECS,2008,23242038760382.1
Europe & Central Asia,ECS,2009,20443199631948.9
Europe & Central Asia,ECS,2010,20924691161658.7
Europe & Central Asia,ECS,2011,23182627672175.1
Europe & Central Asia,ECS,2012,22340699161445
Europe & Central Asia,ECS,2013,23349158951152.4
Europe & Central Asia,ECS,2014,23654699725965
Europe & Central Asia,ECS,2015,20364623091493.9
Europe & Central Asia,ECS,2016,20273841359271
Latin America & Caribbean,LCN,1960,81231814846.363
Latin America & Caribbean,LCN,1961,86287335349.4088
Latin America & Caribbean,LCN,1962,99366717908.2988
Latin America & Caribbean,LCN,1963,99955845906.0715
Latin America & Caribbean,LCN,1964,111011134837.996
Latin America & Caribbean,LCN,1965,119371791469.707
Latin America & Caribbean,LCN,1966,131018820033.415
Latin America & Caribbean,LCN,1967,134187210192.191
Latin America & Caribbean,LCN,1968,144510148767.745
Latin America & Caribbean,LCN,1969,161958447586.971
Latin America & Caribbean,LCN,1970,176071905100.07
Latin America & Caribbean,LCN,1971,196968821795.516
Latin America & Caribbean,LCN,1972,221446080247.827
Latin America & Caribbean,LCN,1973,289954046146.875
Latin America & Caribbean,LCN,1974,376428081259.377
Latin America & Caribbean,LCN,1975,394878139738.537
Latin America & Caribbean,LCN,1976,439009649467.299
Latin America & Caribbean,LCN,1977,483105144772.74
Latin America & Caribbean,LCN,1978,548082288899.465
Latin America & Caribbean,LCN,1979,653361957732.235
Latin America & Caribbean,LCN,1980,774610663634.314
Latin America & Caribbean,LCN,1981,892197077887.729
Latin America & Caribbean,LCN,1982,834249556962.449
Latin America & Caribbean,LCN,1983,740171057904.183
Latin America & Caribbean,LCN,1984,729654325488.334
Latin America & Caribbean,LCN,1985,751412828440.244
Latin America & Caribbean,LCN,1986,764534086642.951
Latin America & Caribbean,LCN,1987,803851944552.642
Latin America & Caribbean,LCN,1988,919123365001.321
Latin America & Caribbean,LCN,1989,1006401717319.53
Latin America & Caribbean,LCN,1990,1170503151627.96
Latin America & Caribbean,LCN,1991,1440164640565.46
Latin America & Caribbean,LCN,1992,1358402572233.26
Latin America & Caribbean,LCN,1993,1564941586767.48
Latin America & Caribbean,LCN,1994,1797150604612.08
Latin America & Caribbean,LCN,1995,1916099952742.19
Latin America & Caribbean,LCN,1996,2060739358051.35
Latin America & Caribbean,LCN,1997,2255377958184.28
Latin America & Caribbean,LCN,1998,2271734570154.72
Latin America & Caribbean,LCN,1999,2050793815133.05
Latin America & Caribbean,LCN,2000,2262091810679.88
Latin America & Caribbean,LCN,2001,2204817296105.27
Latin America & Caribbean,LCN,2002,1976797807992.51
Latin America & Caribbean,LCN,2003,2035302568313.9
Latin America & Caribbean,LCN,2004,2350657774176.39
Latin America & Caribbean,LCN,2005,2845509423691.62
Latin America & Caribbean,LCN,2006,3337244559997.56
Latin America & Caribbean,LCN,2007,3936347648225.09
Latin America & Caribbean,LCN,2008,4576034696193.34
Latin America & Caribbean,LCN,2009,4302163169714.6
Latin America & Caribbean,LCN,2010,5334533033072.82
Latin America & Caribbean,LCN,2011,6064277798886.03
Latin America & Caribbean,LCN,2012,6121206635064.58
Latin America & Caribbean,LCN,2013,6272989482508.83
Latin America & Caribbean,LCN,2014,6391549877362.08
Latin America & Caribbean,LCN,2015,5459206256454.35
Latin America & Caribbean,LCN,2016,5299865625774.02
Middle East & North Africa,MEA,1968,32598497785.5043
Middle East & North Africa,MEA,1969,36384816241.1937
Middle East & North Africa,MEA,1970,41243011986.7202
Middle East & North Africa,MEA,1971,47614954968.8215
Middle East & North Africa,MEA,1972,58137916907.7533
Middle East & North Africa,MEA,1973,78314872620.6397
Middle East & North Africa,MEA,1974,142659976452.862
Middle East & North Africa,MEA,1975,155791345570.2
Middle East & North Africa,MEA,1976,193704316864.941
Middle East & North Africa,MEA,1977,224691986322.579
Middle East & North Africa,MEA,1978,238550083389.823
Middle East & North Africa,MEA,1979,311753032318.839
Middle East & North Africa,MEA,1980,402410542622.525
Middle East & North Africa,MEA,1981,415941395552.503
Middle East & North Africa,MEA,1982,414275165387.925
Middle East & North Africa,MEA,1983,420830232870.135
Middle East & North Africa,MEA,1984,426458764085.173
Middle East & North Africa,MEA,1985,432783155355.763
Middle East & North Africa,MEA,1986,442829428060.743
Middle East & North Africa,MEA,1987,411135918932.23
Middle East & North Africa,MEA,1988,408590542564.906
Middle East & North Africa,MEA,1989,420719668267.302
Middle East & North Africa,MEA,1990,550957452061.798
Middle East & North Africa,MEA,1991,553975106196.129
Middle East & North Africa,MEA,1992,603445097423.173
Middle East & North Africa,MEA,1993,607554327421.48
Middle East & North Africa,MEA,1994,633819758524.703
Middle East & North Africa,MEA,1995,708751921751.876
Middle East & North Africa,MEA,1996,802386209546.278
Middle East & North Africa,MEA,1997,832734025493.755
Middle East & North Africa,MEA,1998,809445659306.921
Middle East & North Africa,MEA,1999,866936558879.285
Middle East & North Africa,MEA,2000,967021642510.449
Middle East & North Africa,MEA,2001,970615931120.003
Middle East & North Africa,MEA,2002,966820093048.206
Middle East & North Africa,MEA,2003,1089098416129.6
Middle East & North Africa,MEA,2004,1271214902549.4
Middle East & North Africa,MEA,2005,1530143773484.47
Middle East & North Africa,MEA,2006,1790939429141.46
Middle East & North Africa,MEA,2007,2123322295847.04
Middle East & North Africa,MEA,2008,2647704729411.95
Middle East & North Africa,MEA,2009,2368231329944.26
Middle East & North Africa,MEA,2010,2767962267741.37
Middle East & North Africa,MEA,2011,3282392899960.52
Middle East & North Africa,MEA,2012,3529758430134.79
Middle East & North Africa,MEA,2013,3524023587337.77
Middle East & North Africa,MEA,2014,3563559183199.12
Middle East & North Africa,MEA,2015,3147279271333.8
Middle East & North Africa,MEA,2016,3144797691272.85
North America,NAC,1960,584477920198.99
North America,NAC,1961,604157219440.397
North America,NAC,1962,647173002027.413
North America,NAC,1963,683353535761.531
North America,NAC,1964,734790505460.858
North America,NAC,1965,797723909391.131
North America,NAC,1966,875492805408.936
North America,NAC,1967,926623934246.798
North America,NAC,1968,1013409031841.72
North America,NAC,1969,1097952410241.71
North America,NAC,1970,1163966395224.42
North America,NAC,1971,1267253061477.52
North America,NAC,1972,1395767220992.02
North America,NAC,1973,1560140359214.08
North America,NAC,1974,1709546297648.26
North America,NAC,1975,1863102029787.65
North America,NAC,1976,2084548864401.62
North America,NAC,1977,2298010156934.65
North America,NAC,1978,2575679667449.81
North America,NAC,1979,2875732302185.42
North America,NAC,1980,3136972126345.01
North America,NAC,1981,3517909963656.99
North America,NAC,1982,3659283025119.14
North America,NAC,1983,3979574111781.89
North America,NAC,1984,4397051258071.62
North America,NAC,1985,4712529999482.75
North America,NAC,1986,4968766427343.98
North America,NAC,1987,5302830242049.45
North America,NAC,1988,5761398451214.26
North America,NAC,1989,6224250243275.25
North America,NAC,1990,6575110950908.47
North America,NAC,1991,6786006083611.19
North America,NAC,1992,7133366589284.92
North America,NAC,1993,7457709121892.44
North America,NAC,1994,7888761439501.61
North America,NAC,1995,8270122373385.4
North America,NAC,1996,8731442777972.13
North America,NAC,1997,9264273191726.28
North America,NAC,1998,9724112027406.81
North America,NAC,1999,10340031087640.9
North America,NAC,2000,11030552667252.6
North America,NAC,2001,11361884260892.6
North America,NAC,2002,11739401906646.5
North America,NAC,2003,12407237511367.9
North America,NAC,2004,13302608706074.6
North America,NAC,2005,14267952115864.7
North America,NAC,2006,15176717496461.2
North America,NAC,2007,15948507238205.8
North America,NAC,2008,16273823136997.2
North America,NAC,2009,15795698382986.4
North America,NAC,2010,16583580836811.1
North America,NAC,2011,17312124677047.8
North America,NAC,2012,17985081294447.6
North America,NAC,2013,18539718715830.2
North America,NAC,2014,19191755961783.7
North America,NAC,2015,19679438002855
North America,NAC,2016,20160296406469
South Asia,SAS,1960,46535882349.5353
South Asia,SAS,1961,49639265057.888
South Asia,SAS,1962,52969959487.1425
South Asia,SAS,1963,59564124018.8379
South Asia,SAS,1964,68207240591.276
South Asia,SAS,1965,73302133559.0127
South Asia,SAS,1966,61638106877.0695
South Asia,SAS,1967,67859668331.0437
South Asia,SAS,1968,71227636447.081
South Asia,SAS,1969,78199356804.7733
South Asia,SAS,1970,84723556607.1639
South Asia,SAS,1971,90042201738.5115
South Asia,SAS,1972,90429767477.282
South Asia,SAS,1973,103394104059.765
South Asia,SAS,1974,125253027719.799
South Asia,SAS,1975,134416247897.745
South Asia,SAS,1976,131167736496.194
South Asia,SAS,1977,151656859736.336
South Asia,SAS,1978,172583702486.213
South Asia,SAS,1979,193318644211.614
South Asia,SAS,1980,233086150890.282
South Asia,SAS,1981,247106727889.629
South Asia,SAS,1982,255647758194.56
South Asia,SAS,1983,270545959907.086
South Asia,SAS,1984,269355371620.121
South Asia,SAS,1985,292874261367.599
South Asia,SAS,1986,310147312221.755
South Asia,SAS,1987,344338564247.538
South Asia,SAS,1988,370046274628.889
South Asia,SAS,1989,373481452092.266
South Asia,SAS,1990,402050004575.523
South Asia,SAS,1991,357724016271.72
South Asia,SAS,1992,379830007892.912
South Asia,SAS,1993,376239667457.364
South Asia,SAS,1994,426649315425.987
South Asia,SAS,1995,474034412840.605
South Asia,SAS,1996,518624561849.029
South Asia,SAS,1997,544005563623.853
South Asia,SAS,1998,551628275407.375
South Asia,SAS,1999,590948715637.076
South Asia,SAS,2000,614756473708.65
South Asia,SAS,2001,630828017007.045
South Asia,SAS,2002,663250167513.213
South Asia,SAS,2003,774466662241.158
South Asia,SAS,2004,897926604903.83
South Asia,SAS,2005,1028639938471.39
South Asia,SAS,2006,1176253735122.35
South Asia,SAS,2007,1488693557083.01
South Asia,SAS,2008,1515641609304.52
South Asia,SAS,2009,1665589062548.31
South Asia,SAS,2010,2042141855806.9
South Asia,SAS,2011,2272006394117.54
South Asia,SAS,2012,2297909547839.05
South Asia,SAS,2013,2356659793779.43
South Asia,SAS,2014,2577691553786.73
South Asia,SAS,2015,2682804385971.41
South Asia,SAS,2016,2892480763179.47
Sub-Saharan Africa,SSF,1960,30293454848.2105
Sub-Saharan Africa,SSF,1961,31465076775.5305
Sub-Saharan Africa,SSF,1962,34104849889.4766
Sub-Saharan Africa,SSF,1963,39106436783.5605
Sub-Saharan Africa,SSF,1964,38154669432.4731
Sub-Saharan Africa,SSF,1965,42511265775.887
Sub-Saharan Africa,SSF,1966,45892007068.4289
Sub-Saharan Africa,SSF,1967,45355789870.4112
Sub-Saharan Africa,SSF,1968,48511689901.6278
Sub-Saharan Africa,SSF,1969,55619101230.4241
Sub-Saharan Africa,SSF,1970,65441663595.2528
Sub-Saharan Africa,SSF,1971,66584540143.7838
Sub-Saharan Africa,SSF,1972,75015704819.2867
Sub-Saharan Africa,SSF,1973,95886132380.8826
Sub-Saharan Africa,SSF,1974,125666113209.184
Sub-Saharan Africa,SSF,1975,138201570744.764
Sub-Saharan Africa,SSF,1976,150065750976.478
Sub-Saharan Africa,SSF,1977,165419484974.18
Sub-Saharan Africa,SSF,1978,182804718774.66
Sub-Saharan Africa,SSF,1979,220049397934.685
Sub-Saharan Africa,SSF,1980,276325613788.158
Sub-Saharan Africa,SSF,1981,278746905466.921
Sub-Saharan Africa,SSF,1982,260407279021.102
Sub-Saharan Africa,SSF,1983,242438533416.832
Sub-Saharan Africa,SSF,1984,230830117319.801
Sub-Saharan Africa,SSF,1985,215111614796.826
Sub-Saharan Africa,SSF,1986,238400378521.777
Sub-Saharan Africa,SSF,1987,280930550942.236
Sub-Saharan Africa,SSF,1988,295523690332.111
Sub-Saharan Africa,SSF,1989,309182519793.758
Sub-Saharan Africa,SSF,1990,309656772694.718
Sub-Saharan Africa,SSF,1991,319139026333.247
Sub-Saharan Africa,SSF,1992,313874505716.532
Sub-Saharan Africa,SSF,1993,300038498591.01
Sub-Saharan Africa,SSF,1994,292189333027.886
Sub-Saharan Africa,SSF,1995,337411634256.534
Sub-Saharan Africa,SSF,1996,348828092040.987
Sub-Saharan Africa,SSF,1997,361006709281.608
Sub-Saharan Africa,SSF,1998,340572456123.532
Sub-Saharan Africa,SSF,1999,342916454500.386
Sub-Saharan Africa,SSF,2000,367679644790.853
Sub-Saharan Africa,SSF,2001,342345476693.071
Sub-Saharan Africa,SSF,2002,366969503176.655
Sub-Saharan Africa,SSF,2003,468505411662.939
Sub-Saharan Africa,SSF,2004,583461060225.834
Sub-Saharan Africa,SSF,2005,685226908393.033
Sub-Saharan Africa,SSF,2006,802075288542.163
Sub-Saharan Africa,SSF,2007,933327105483.533
Sub-Saharan Africa,SSF,2008,1067466936503.72
Sub-Saharan Africa,SSF,2009,1022616202357.64
Sub-Saharan Africa,SSF,2010,1365815003522.17
Sub-Saharan Africa,SSF,2011,1537231271076.8
Sub-Saharan Africa,SSF,2012,1612110026187.15
Sub-Saharan Africa,SSF,2013,1698517981177.86
Sub-Saharan Africa,SSF,2014,1780285270973.27
Sub-Saharan Africa,SSF,2015,1605874046218.37
Sub-Saharan Africa,SSF,2016,1512596044161.42
